사용월,호선명,역ID,지하철역,승차승객수,하차승객수,
Dec.21,4호선,118,총신대입구(이수),"503,278","546,511",
Dec.21,4호선,119,사당,"678,194","576,674",
Dec.21,4호선,120,남태령,"33,664","28,196",
Dec.21,4호선,95,당고개,"347,840","316,032",
Dec.21,4호선,96,상계,"511,108","474,282",
Dec.21,4호선,97,노원,"516,652","579,646",
Dec.21,4호선,98,창동,"688,045","727,940",
Dec.21,4호선,99,쌍문,"795,624","728,116",
Dec.21,경부선,121,서울역,"186,813","60,738",
Dec.21,경부선,122,남영,"241,603","252,206",
Dec.21,경부선,123,용산,"1,009,129","1,023,584",
Dec.21,경부선,124,노량진,"230,447","232,474",
Dec.21,경부선,125,대방,"337,169","346,898",
Dec.21,경부선,126,영등포,"1,113,689","1,142,696",
Dec.21,경부선,127,신도림,"108,210","107,996",
Dec.21,경부선,151,신길,"239,544","203,510",
Dec.21,경부선,250,구로,"502,792","513,597",
Dec.21,경부선,251,가산디지털단지,"446,234","525,758",
Dec.21,경부선,252,금천구청,"318,275","315,650",
Dec.21,경부선,253,석수,"260,154","232,125",
Dec.21,경부선,254,관악,"197,661","182,945",
Dec.21,경부선,255,안양,"620,403","617,698",
Dec.21,경부선,256,명학,"234,782","230,762",
Dec.21,경부선,257,금정,"708,205","721,362",
Dec.21,경부선,258,군포,"200,790","198,206",
Dec.21,경부선,259,의왕,"241,219","240,272",
Dec.21,경부선,260,성균관대,"381,142","376,048",
Dec.21,경부선,261,화서,"208,922","202,083",
Dec.21,경부선,262,수원,"1,012,154","1,069,110",
Dec.21,경부선,263,독산,"473,313","489,585",
Dec.21,경부선,264,세류,"83,335","77,259",
Dec.21,경부선,265,병점,"397,451","397,807",
Dec.21,경부선,266,세마,"76,127","71,194",
Dec.21,경부선,267,오산대,"94,107","86,758",
Dec.21,경부선,268,오산,"278,575","275,592",
Dec.21,경부선,269,진위,"44,158","38,505",
Dec.21,경부선,270,송탄,"127,495","122,810",
Dec.21,경부선,271,서정리,"199,924","186,695",
Dec.21,경부선,272,평택지제,"97,973","92,737",
Dec.21,경부선,273,평택,"348,286","344,549",
Dec.21,경부선,274,성환,"101,909","101,042",
Dec.21,경부선,275,직산,"21,571","20,800",
Dec.21,경부선,276,두정,"150,046","150,844",
Dec.21,경부선,277,천안,"150,968","155,451",
Dec.21,경부선,278,당정,"162,516","154,934",
Dec.21,경부선,279,서동탄,"38,052","34,242",
Dec.21,경부선,280,광명,"94,164","81,734",
Dec.21,경인선,294,개봉,"574,025","573,419",
Dec.21,경인선,295,오류동,"324,621","303,355",
Dec.21,경인선,296,역곡,"727,555","717,507",
Dec.21,경인선,297,부천,"896,572","903,367",
Dec.21,경인선,298,송내,"705,198","702,131",
Dec.21,경인선,299,부평,"825,438","886,199",
Dec.21,경인선,300,백운,"187,489","184,870",
Dec.21,경인선,301,동암,"403,758","409,219",
Dec.21,경인선,302,주안,"517,346","464,252",
Dec.21,경인선,303,제물포,"286,845","273,162",
Dec.21,경인선,304,동인천,"376,989","360,097",
Dec.21,경인선,305,인천,"93,887","71,773",
Dec.21,경인선,306,구일,"181,867","182,982",
Dec.21,경인선,307,소사,"237,539","211,441",
Dec.21,경인선,308,부개,"230,492","216,239",
Dec.21,경인선,309,간석,"158,483","151,149",
Dec.21,경인선,310,도원,"79,206","79,765",
Dec.21,경인선,311,온수(성공회대입구),"180,194","171,130",
Dec.21,경인선,312,중동,"250,148","236,242",
Dec.21,경인선,313,도화,"113,562","105,865",
Dec.21,경원선,128,이촌(국립중앙박물관),"97,932","75,924",
Dec.21,경원선,129,서빙고,"54,247","51,624",
Dec.21,경원선,130,한남,"108,349","104,188",
Dec.21,경원선,131,옥수,"1,499",980,
Dec.21,경원선,132,응봉,"49,305","41,962",
Dec.21,경원선,133,왕십리(성동구청),"395,191","441,170",
Dec.21,경원선,134,청량리(서울시립대입구),"438,638","451,553",
Dec.21,경원선,136,외대앞,"203,534","200,824",
Dec.21,경원선,137,신이문,"226,676","210,301",
Dec.21,경원선,138,석계,"217,862","245,910",
Dec.21,경원선,139,광운대,"213,269","207,813",
Dec.21,경원선,140,월계,"182,395","171,258",
Dec.21,경원선,141,녹천,"123,375","104,416",
Dec.21,경원선,142,창동,8,0,
Dec.21,경원선,359,방학,"259,698","253,974",
Dec.21,경원선,360,도봉,"160,942","155,961",
Dec.21,경원선,361,도봉산,"210,194","138,186",
Dec.21,경원선,362,망월사,"203,481","207,963",
Dec.21,경원선,363,회룡,"332,437","328,632",
Dec.21,경원선,364,의정부,"524,002","539,472",
Dec.21,경원선,365,가능,"179,345","172,764",
Dec.21,경원선,366,녹양,"123,168","116,290",
Dec.21,경원선,367,양주,"208,767","196,731",
Dec.21,경원선,368,덕계,"82,614","73,933",
Dec.21,경원선,369,덕정,"154,704","149,888",
Dec.21,경원선,370,지행,"181,135","180,196",
Dec.21,경원선,371,동두천중앙,"85,554","83,488",
Dec.21,경원선,372,보산,"46,250","42,680",
Dec.21,경원선,373,동두천,"57,210","63,788",
Dec.21,경원선,374,소요산,"71,271","60,324",
Dec.21,안산선,281,산본,"428,705","448,671",
Dec.21,안산선,282,대야미,"134,348","120,014",
Dec.21,안산선,283,반월,"116,965","111,840",
Dec.21,안산선,284,상록수,"428,483","433,567",
Dec.21,안산선,285,한대앞,"251,138","252,199",
Dec.21,안산선,286,중앙,"490,359","511,506",
Dec.21,안산선,287,고잔,"236,563","225,058",
Dec.21,안산선,288,초지,"124,325","129,200",
Dec.21,안산선,289,안산,"323,508","298,263",
Dec.21,안산선,290,신길온천,"47,297","43,926",
Dec.21,안산선,291,정왕,"237,873","246,522",
Dec.21,안산선,292,오이도,"231,310","227,049",
Dec.21,안산선,293,수리산,"113,371","93,528",
Dec.21,과천선,231,선바위,"216,040","189,896",
Dec.21,과천선,232,경마공원,"102,741","102,466",
Dec.21,과천선,233,대공원,"67,285","70,120",
Dec.21,과천선,234,과천,"160,149","148,835",
Dec.21,과천선,235,정부과천청사,"275,060","272,361",
Dec.21,과천선,236,인덕원,"637,443","659,199",
Dec.21,과천선,237,평촌,"460,685","454,844",
Dec.21,과천선,238,범계,"703,103","693,095",
Dec.21,분당선,143,선릉,"336,168","507,580",
Dec.21,분당선,144,한티,"376,210","399,414",
Dec.21,분당선,145,도곡,"179,536","177,664",
Dec.21,분당선,146,구룡,"54,931","52,680",
Dec.21,분당선,147,개포동,"99,451","103,234",
Dec.21,분당선,148,대모산입구,"117,239","108,832",
